Study,Organism,Experiment,RelativeDensity,PredictedP,n,EstimatedVariance,ObservedVariance,LowerBound,UpperBound,EstimatedIS,ObservedIS,LowerIS,UpperIS
Akre1979,Odonate,1,0.23,0.1,38,0.0024,0.00315,0.00035,0.007,0.96,0.95,0.94,0.99
Akre1979,Odonate,1,0.41,0.212,30,0.0056,0.0084,0.00078,0.015,0.95,0.91,0.9,0.98
Akre1979,Odonate,1,0.045,0.018,24,0.0007,0,0,0.003,0.98,1,0.96,1
Akre1979,Odonate,1,0.6,0.36,27,0.0085,0.06,0.001,0.024,0.93,0.78,0.88,0.98
Akre1979,Odonate,1,0.77,0.57,17,0.014,0.125,0.0017,0.04,0.91,0.68,0.84,0.98
Akre1979,Odonate,1,0.95,0.89,11,0.0088,0.0007,0.0016,0.026,0.93,0.97,0.88,0.97
Akre1979,Odonate,2,0.23,0.06,47,0.0013,0.0045,0.00014,0.004,0.98,0.94,0.95,0.99
Akre1979,Odonate,2,0.41,0.14,40,0.003,0.0015,0.00044,0.0084,0.96,0.97,0.93,0.98
Akre1979,Odonate,2,0.045,0.01,46,0.00024,0,0,0.0008,0.99,1,0.98,1
Akre1979,Odonate,2,0.6,0.25,43,0.004,0.0194,0.00054,0.12,0.95,0.89,0.91,0.98
Akre1979,Odonate,2,0.77,0.444,23,0.011,0.0166,0.0013,0.03,0.93,0.88,0.87,0.97
Akre1979,Odonate,2,0.95,0.83,21,0.0067,0.003,0.0007,0.019,0.94,0.95,0.89,0.98
Bayliss1982,Whelk,1,0.83,0.98,8,0.0024,0,0,0.011,0.98,1,0.95,1
Bayliss1982,Whelk,1,0.5,0.91,14,0.006,0.0063,0.00085,0.016,0.93,0.93,0.86,0.97
Bayliss1982,Whelk,1,0.167,0.67,8,0.026,0.0456,0.0042,0.067,0.88,0.79,0.79,0.94
Bayliss1982,Whelk,2,0.5,0.56,12,0.02,0.0285,0.004,0.05,0.9,0.94,0.82,0.95
Bayliss1982,Whelk,2,0.83,0.86,13,0.009,0.004,0.0018,0.026,0.96,0.96,0.88,0.97
Bayliss1982,Whelk,2,0.17,0.2,10,0.016,0.0286,0.0027,0.04,0.91,0.86,0.83,0.97
Bayliss1982,Whelk,3,0.5,0.5,9,0.028,0.055,0.005,0.067,0.88,0.8,0.8,0.95
Bayliss1982,Whelk,3,0.83,0.83,13,0.01,0.0027,0.0016,0.0276,0.92,0.96,0.87,0.97
Bayliss1982,Whelk,3,0.17,0.17,11,0.012,0.00024,0.00022,0.033,0.92,0.96,0.86,0.97
Bell1999,Fish,1,0.25,0.068,8,0.008,0.006,0,0.036,NA,NA,NA,NA
Bell1999,Fish,1,0.5,0.18,8,0.018,0.017,0,0.068,NA,NA,NA,NA
Bell1999,Fish,1,0.75,0.4,8,0.03,0.085,0,0.109,NA,NA,NA,NA
Bloisheulin1990,Odonate,1,0.2,0.213,8,0.021,0.03,0.007,0.044,NA,NA,NA,NA
Bloisheulin1990,Odonate,1,0.4,0.42,8,0.03,0.06,0.01,0.062,NA,NA,NA,NA
Bloisheulin1990,Odonate,1,0.5,0.52,8,0.03,0.046,0.01,0.062,NA,NA,NA,NA
Bloisheulin1990,Odonate,1,0.6,0.62,8,0.03,0.03,0.01,0.06,NA,NA,NA,NA
Bloisheulin1990,Odonate,1,0.8,0.81,8,0.02,0.03,0.006,0.041,NA,NA,NA,NA
Bloisheulin1990,Odonate,2,0.2,0.35,8,0.028,0.03,0.0085,0.058,NA,NA,NA,NA
Bloisheulin1990,Odonate,2,0.4,0.59,8,0.03,0.049,0.01,0.061,NA,NA,NA,NA
Bloisheulin1990,Odonate,2,0.5,0.68,8,0.027,0.016,0.008,0.056,NA,NA,NA,NA
Bloisheulin1990,Odonate,2,0.6,0.76,8,0.023,0.01,0.007,0.048,NA,NA,NA,NA
Bloisheulin1990,Odonate,2,0.8,0.895,8,0.012,0.046,0.0036,0.027,NA,NA,NA,NA
Buck2000,Fish,1,0.12,0.16,12,0.011,0.002,0,0.044,NA,NA,NA,NA
Buck2000,Fish,1,0.25,0.315,12,0.018,0.061,0,0.065,NA,NA,NA,NA
Buck2000,Fish,1,0.5,0.58,12,0.02,0.086,0,0.072,NA,NA,NA,NA
Buck2000,Fish,1,0.75,0.805,12,0.013,0.006,0,0.049,NA,NA,NA,NA
Buck2000,Fish,1,0.88,0.91,12,0.007,0.0077,0,0.03,NA,NA,NA,NA
Buck2000,Fish,2,0.12,0.14,12,0.01,0.003,0,0.04,NA,NA,NA,NA
Buck2000,Fish,2,0.25,0.28,12,0.017,0.09,0,0.065,NA,NA,NA,NA
Buck2000,Fish,2,0.5,0.54,12,0.021,0.13,0,0.072,NA,NA,NA,NA
Buck2000,Fish,2,0.75,0.78,12,0.014,0.067,0,0.05,NA,NA,NA,NA
Buck2000,Fish,2,0.88,0.896,12,0.0078,0.0034,0,0.03,NA,NA,NA,NA
Butler1991,Mite,1,0.15,0.12,10,0.01,0.0075,0.0027,0.026,0.96,0.93,0.79,0.96
Butler1991,Mite,1,0.35,0.29,10,0.02,0.0117,0.005,0.046,0.94,0.91,0.7,0.95
Butler1991,Mite,1,0.5,0.437,10,0.025,0.025,0.006,0.054,0.93,0.87,0.68,0.94
Butler1991,Mite,1,0.65,0.59,10,0.024,0.018,0.006,0.053,0.94,0.9,0.68,0.94
Butler1991,Mite,1,0.85,0.815,10,0.015,0.01,0.004,0.035,0.95,0.91,0.75,0.96
Butler1991,Mite,2,0.15,0.155,15,0.01,0.009,0.001,0.028,0.93,0.92,0.82,0.98
Butler1991,Mite,2,0.35,0.36,15,0.021,0.02,0.001,0.049,0.9,0.9,0.77,0.98
Butler1991,Mite,2,0.5,0.51,15,0.025,0.001,0.001,0.049,0.9,0.93,0.75,0.98
Butler1991,Mite,2,0.65,0.66,15,0.024,0.001,0.001,0.045,0.9,0.98,0.77,0.98
Butler1991,Mite,2,0.85,0.85,15,0.015,0.002,0.001,0.027,0.93,0.96,0.83,0.98
Cuthbert2018,Amphipod,1,0.07,0.23,8,0.022,0.04,0.0042,0.056,NA,NA,NA,NA
Cuthbert2018,Amphipod,1,0.13,0.37,8,0.029,0.06,0.0047,0.071,NA,NA,NA,NA
Cuthbert2018,Amphipod,1,0.27,0.6,8,0.03,0.074,0.0047,0.073,NA,NA,NA,NA
Cuthbert2018,Amphipod,1,0.5,0.8,8,0.02,0.004,0.0042,0.053,NA,NA,NA,NA
Cuthbert2018,Amphipod,1,0.73,0.915,8,0.0097,0.007,0.0026,0.028,NA,NA,NA,NA
Cuthbert2018,Amphipod,1,0.87,0.964,8,0.004,0,0,0.0125,NA,NA,NA,NA
Cuthbert2018,Amphipod,1,0.93,0.98,8,0.002,0.002,0,0.01,NA,NA,NA,NA
Daly2013,Crab,1,0.1,0.107,5,0.024,0.0081,0,0.0625,NA,NA,NA,NA
Daly2013,Crab,1,0.3,0.317,5,0.054,0.0046,0,0.141,NA,NA,NA,NA
Daly2013,Crab,1,0.5,0.52,5,0.0624,0.13,0.017,0.125,NA,NA,NA,NA
Daly2013,Crab,1,0.7,0.717,5,0.051,0.17,0.0156,0.11,NA,NA,NA,NA
Daly2013,Crab,1,0.9,0.91,5,0.021,0.01,0,0.0625,NA,NA,NA,NA
Daly2013,Crab,2,0.1,0.096,5,0.022,0.014,0,0.0625,NA,NA,NA,NA
Daly2013,Crab,2,0.3,0.29,5,0.05,0.06,0.0125,0.144,NA,NA,NA,NA
Daly2013,Crab,2,0.5,0.49,5,0.062,0.102,0.024,0.1136,NA,NA,NA,NA
Daly2013,Crab,2,0.7,0.69,5,0.053,0.0125,0.0125,0.144,NA,NA,NA,NA
Daly2013,Crab,2,0.9,0.9,5,0.023,0,0,0.067,NA,NA,NA,NA
Dinis2016,Beetle,1,0.1,0.78,4,0.04,0.13,0.02,0.07,NA,NA,NA,NA
Dinis2016,Beetle,1,0.25,0.915,4,0.02,0.07,0.009,0.037,NA,NA,NA,NA
Dinis2016,Beetle,1,0.4,0.956,4,0.01,0.07,0.002,0.023,NA,NA,NA,NA
Dinis2016,Beetle,1,0.5,0.97,4,0.007,0.017,0,0.017,NA,NA,NA,NA
Dinis2016,Beetle,1,0.6,0.98,4,0.005,0.015,0,0.014,NA,NA,NA,NA
Dinis2016,Beetle,1,0.75,0.99,4,0.0025,0.0016,0,0.009,NA,NA,NA,NA
Dinis2016,Beetle,1,0.9,0.996,4,0.0008,0,0,0.005,NA,NA,NA,NA
Dinis2016,Beetle,2,0.1,0.096,12,0.007,0.0048,0.00347,0.0126,NA,NA,NA,NA
Dinis2016,Beetle,2,0.25,0.024,12,0.015,0.0225,0.008,0.0248,NA,NA,NA,NA
Dinis2016,Beetle,2,0.4,0.39,12,0.02,0.04,0.01,0.032,NA,NA,NA,NA
Dinis2016,Beetle,2,0.5,0.49,12,0.021,0.03,0.01,0.0333,NA,NA,NA,NA
Dinis2016,Beetle,2,0.6,0.59,12,0.02,0.036,0.01,0.032,NA,NA,NA,NA
Dinis2016,Beetle,2,0.75,0.74,12,0.016,0.013,0.008,0.026,NA,NA,NA,NA
Dinis2016,Beetle,2,0.9,0.9,12,0.0078,0.002,0.0039,0.013,NA,NA,NA,NA
Ejdung2001,Isopod,1,0.25,0.75,10,0.0188,0.029,0.003,0.047,NA,NA,NA,NA
Ejdung2001,Isopod,1,0.5,0.9,10,0.009,0.0005,0.0017,0.026,0.88,0.84,0.72,0.97
Ejdung2001,Isopod,1,0.75,0.96,10,0.003,0.00089,0,0.01,0.92,0.98,0.8,0.98
Flinn1985,Insect,1,0.13,0.02,8,0.002,0.0016,0,0.011,0.97,0.98,0.85,1
Flinn1985,Insect,1,0.25,0.04,8,0.0052,0.004,0,0.017,NA,NA,NA,NA
Flinn1985,Insect,1,0.38,0.077,8,0.0089,0.0084,0.0026,0.025,NA,NA,NA,NA
Flinn1985,Insect,1,0.5,0.12,8,0.0132,0.005,0.0026,0.036,NA,NA,NA,NA
Flinn1985,Insect,1,0.63,0.19,8,0.019,0.0076,0.0042,0.05,NA,NA,NA,NA
Flinn1985,Insect,1,0.75,0.29,8,0.026,0.025,0.0042,0.06,NA,NA,NA,NA
Flinn1985,Insect,1,0.88,0.5,8,0.0312,0.007,0.0047,0.078,NA,NA,NA,NA
Hill1992,Isopod,1,0.25,0.28,10,0.02,0.06,0.0025,0.0625,0.98,0.78,0.73,0.98
Hill1992,Isopod,1,0.5,0.54,10,0.025,0.023,0.0025,0.076,0.95,0.87,0.7,0.98
Hill1992,Isopod,1,0.75,0.78,10,0.017,0.006,0.002,0.048,0.96,0.93,0.74,0.98
Johansson1992,Odonate,1,0.12,0.196,4,0.039,0.033,0,0.125,NA,NA,NA,NA
Johansson1992,Odonate,1,0.25,0.352,4,0.057,0.04,0,0.182,NA,NA,NA,NA
Johansson1992,Odonate,1,0.5,0.62,4,0.059,0.062,0,0.182,NA,NA,NA,NA
Johansson1992,Odonate,1,0.75,0.83,4,0.035,0.041,0,0.125,NA,NA,NA,NA
Johansson1992,Odonate,1,0.88,0.923,4,0.018,0.03,0,0.0625,NA,NA,NA,NA
Katz1985,Whelk,1,0.125,0.822,6,0.0244,0.033,0.0056,0.075,NA,NA,NA,NA
Katz1985,Whelk,1,0.25,0.915,6,0.013,0.0005,0,0.047,NA,NA,NA,NA
Katz1985,Whelk,1,0.5,0.97,6,0.0049,0.0005,0,0.022,NA,NA,NA,NA
Katz1985,Whelk,1,0.75,0.99,6,0.0017,0.0005,0,0.008,NA,NA,NA,NA
Katz1985,Whelk,1,0.875,0.995,6,0.0007,0.0005,0,0.005,NA,NA,NA,NA
Mattila1997,Fish,1,0.1,0.214,50,0.0034,0.0049,0.0032,0.0095,NA,NA,NA,NA
Mattila1997,Fish,1,0.5,0.71,50,0.004,0.0036,0.001,0.0094,NA,NA,NA,NA
Mattila1997,Fish,1,0.9,0.957,50,0.0008,0.0004,0.00008,0.0025,NA,NA,NA,NA
Murdoch1969,Whelk,1,0.165,0.182,30,0.03,0.076,0.008,0.09,NA,NA,NA,NA
Murdoch1969,Whelk,1,0.33,0.357,30,0.046,0.099,0.008,0.12,NA,NA,NA,NA
Murdoch1969,Whelk,1,0.5,0.53,30,0.05,0.136,0.008,0.13,NA,NA,NA,NA
Murdoch1969,Whelk,1,0.66,0.686,30,0.043,0.017,0.008,0.112,NA,NA,NA,NA
Murdoch1969,Whelk,1,0.835,0.85,30,0.025,0.0053,0,0.072,NA,NA,NA,NA
Murdoch1969,Whelk,2,0.165,0.64,5,0.046,0.144,0.008,0.12,0.88,0.76,0.64,0.96
Murdoch1969,Whelk,2,0.37,0.84,5,0.027,0.0125,0.008,0.072,0.84,0.71,0.56,0.96
Murdoch1969,Whelk,2,0.5,0.9,5,0.018,0.03,0,0.068,0.8,0.66,0.56,0.96
Murdoch1969,Whelk,2,0.58,0.92,5,0.0137,0.01,0,0.04,0.84,0.9,0.6,0.96
Murdoch1969,Whelk,2,0.65,0.94,5,0.01,0.018,0,0.032,0.88,0.93,0.68,1
Murdoch1973,Ladybird,1,0.1,0.064,26,0.00225,0.0065,0.0004,0.0082,0.97,0.92,0.94,0.98
Murdoch1973,Ladybird,1,0.25,0.17,30,0.0046,0.0286,0.0007,0.012,0.95,0.86,0.91,0.98
Murdoch1973,Ladybird,1,0.5,0.38,28,0.0083,0.0416,0.001,0.022,0.9,0.81,0.89,0.98
Murdoch1973,Ladybird,1,0.75,0.648,32,0.007,0.0352,0.001,0.018,0.94,0.86,0.9,0.98
Murdoch1973,Ladybird,1,0.9,0.846,36,0.0036,0.0027,0.0005,0.009,0.96,0.95,0.93,0.98
Murdoch1973,Ladybird,2,0.1,0.0717,43,0.0015,0.0003,0.00031,0.004,0.97,0.98,0.95,0.99
Murdoch1973,Ladybird,2,0.25,0.188,38,0.004,0.0017,0.00067,0.01,0.96,0.96,0.92,0.98
Murdoch1973,Ladybird,2,0.5,0.41,43,0.0056,0.00568,0.0007,0.016,0.95,0.94,0.9,0.98
Murdoch1973,Ladybird,2,0.75,0.676,38,0.0058,0.0165,0.00094,0.015,0.95,0.88,0.9,0.98
Murdoch1973,Ladybird,2,0.9,0.862,47,0.0025,0.0018,0.00044,0.0066,0.96,0.97,0.93,0.99
Murdoch1973,Ladybird,3,0.1,0.072,28,0.0024,0.00114,0.00034,0.0065,0.96,0.97,0.94,0.99
Murdoch1973,Ladybird,3,0.25,0.188,26,0.0058,0.00567,0.0008,0.015,0.94,0.95,0.9,0.98
Murdoch1973,Ladybird,3,0.5,0.41,38,0.0064,0.00975,0.001,0.016,0.94,0.91,0.9,0.98
Murdoch1973,Ladybird,3,0.75,0.676,39,0.0056,0.0069,0.0009,0.014,0.95,0.93,0.91,0.98
Murdoch1973,Ladybird,3,0.9,0.862,44,0.0027,0.00145,0.0004,0.007,0.96,0.97,0.94,0.99
Murdoch1975,Fish,1,0.2,0.133,20,0.0058,0.001,0.0019,0.012,NA,NA,NA,NA
Murdoch1975,Fish,1,0.4,0.29,20,0.01,0.00925,0.00341,0.0211,NA,NA,NA,NA
Murdoch1975,Fish,1,0.6,0.48,20,0.0125,0.0275,0.0041,0.0252,NA,NA,NA,NA
Murdoch1975,Fish,1,0.8,0.71,20,0.01,0.0176,0.00341,0.021,NA,NA,NA,NA
Sherratt1989,Odonate,1,0.2,0.143,30,0.0041,0.0048,0.00063,0.0105,0.94,0.95,0.87,0.98
Sherratt1989,Odonate,1,0.5,0.4,30,0.008,0.00737,0.0013,0.02,0.92,0.92,0.82,0.97
Sherratt1989,Odonate,1,0.8,0.727,30,0.0066,0.003,0.0011,0.016,0.93,0.95,0.83,0.97
Sherratt1989,Odonate,2,0.2,0.101,30,0.003,0.0024,0.00063,0.008,0.95,0.96,0.89,0.98
Sherratt1989,Odonate,2,0.5,0.31,30,0.007,0.007,0.0012,0.0181,0.93,0.93,0.83,0.97
Sherratt1989,Odonate,2,0.8,0.642,30,0.0077,0.031,0.0012,0.02,0.93,0.86,0.82,0.97
Sherratt1989,Odonate,3,0.2,0.077,30,0.0024,0.004,0.00033,0.0064,0.96,0.94,0.9,0.99
Sherratt1989,Odonate,3,0.5,0.25,30,0.00625,0.016,0.0011,0.016,0.93,0.9,0.84,0.98
Sherratt1989,Odonate,3,0.8,0.57,30,0.0082,0.004,0.0015,0.021,0.92,0.94,0.82,0.97
Vantornhout2006,Mite,1,0.33,0.11,11,0.0089,0.008,0.0039,0.016,NA,NA,NA,NA
Vantornhout2006,Mite,1,0.5,0.2,12,0.0133,0.0045,0.0063,0.023,NA,NA,NA,NA
Vantornhout2006,Mite,1,0.66,0.327,9,0.0244,0.021,0.012,0.0414,NA,NA,NA,NA
Vantornhout2006,Mite,2,0.33,0.214,13,0.013,0.022,0.0062,0.022,NA,NA,NA,NA
Vantornhout2006,Mite,2,0.5,0.356,9,0.025,0.0205,0.0125,0.043,NA,NA,NA,NA
Vantornhout2006,Mite,2,0.66,0.517,10,0.025,0.015,0.012,0.042,NA,NA,NA,NA
Vantornhout2006,Mite,3,0.33,0.72,4,0.05,0.0405,0.0257,0.082,NA,NA,NA,NA
Vantornhout2006,Mite,3,0.5,0.84,3,0.045,0.0125,0.022,0.083,NA,NA,NA,NA
Vantornhout2006,Mite,3,0.66,0.91,5,0.016,0.0245,0.007,0.0315,NA,NA,NA,NA
Vantornhout2006,Mite,4,0.33,0.3,4,0.052,0.025,0.025,0.087,NA,NA,NA,NA
Vantornhout2006,Mite,4,0.5,0.466,5,0.05,0.06,0.025,0.082,NA,NA,NA,NA
Vantornhout2006,Mite,4,0.66,0.623,5,0.0467,0.032,0.023,0.0775,NA,NA,NA,NA
